Culture:,en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/20,5:59:52 PM,1.32E+17,0:00:31,,6.2834,26.74,35902,1013.25,35,27.92,,6.921,26.2,7463,1013.25,35,25.3,,6.2822,26.75,43386,1013.25,35,27.92,,6.1748,26.92,34033,1013.25,35,27.92,,27.92
11/2/20,6:00:22 PM,1.32E+17,0:01:01,,6.2954,26.72,35896,1013.25,35,27.92,,6.9479,26.16,7462,1013.25,35,25.3,,6.2883,26.74,43374,1013.25,35,27.92,,6.1807,26.91,34000,1013.25,35,27.92,,27.92
11/2/20,6:00:52 PM,1.32E+17,0:01:31,,6.3015,26.71,35890,1013.25,35,27.92,,6.9412,26.17,7461,1013.25,35,25.3,,6.2883,26.74,43372,1013.25,35,27.92,,6.1866,26.9,33960,1013.25,35,27.92,,27.92
11/2/20,6:01:22 PM,1.32E+17,0:02:01,,6.2894,26.73,35912,1013.25,35,27.92,,6.9344,26.18,7469,1013.25,35,25.3,,6.2883,26.74,43362,1013.25,35,27.92,,6.2043,26.87,33943,1013.25,35,27.92,,27.92
11/2/20,6:01:52 PM,1.32E+17,0:02:31,,6.278,26.76,35950,1013.25,35,27.89,,6.9008,26.23,7472,1013.25,35,25.3,,6.2948,26.74,43370,1013.25,35,27.89,,6.2048,26.88,33932,1013.25,35,27.89,,27.89
11/2/20,6:02:22 PM,1.32E+17,0:03:01,,6.2698,26.77,35983,1013.25,35,27.9,,6.9142,26.21,7471,1013.25,35,25.3,,6.2866,26.75,43371,1013.25,35,27.9,,6.2205,26.85,33925,1013.25,35,27.9,,27.9
11/2/20,6:02:52 PM,1.32E+17,0:03:31,,6.2578,26.79,36022,1013.25,35,27.9,,6.9142,26.21,7482,1013.25,35,25.3,,6.2866,26.75,43373,1013.25,35,27.9,,6.2205,26.85,33923,1013.25,35,27.9,,27.9
11/2/20,6:03:22 PM,1.32E+17,0:04:01,,6.248,26.81,36058,1013.25,35,27.89,,6.9075,26.22,7481,1013.25,35,25.3,,6.2948,26.74,43375,1013.25,35,27.89,,6.2108,26.87,33926,1013.25,35,27.89,,27.89
11/2/20,6:03:52 PM,1.32E+17,0:04:31,,6.2361,26.83,36091,1013.25,35,27.89,,6.8942,26.24,7486,1013.25,35,25.3,,6.2888,26.75,43375,1013.25,35,27.89,,6.2108,26.87,33932,1013.25,35,27.89,,27.89
11/2/20,6:04:22 PM,1.32E+17,0:05:01,,6.2323,26.84,36142,1013.25,35,27.88,,6.9142,26.21,7493,1013.25,35,25.3,,6.297,26.74,43376,1013.25,35,27.88,,6.2188,26.86,33934,1013.25,35,27.88,,27.88
11/2/20,6:04:52 PM,1.32E+17,0:05:31,,6.2107,26.88,36193,1013.25,35,27.87,,6.8808,26.26,7491,1013.25,35,25.3,,6.2932,26.75,43370,1013.25,35,27.87,,6.2151,26.87,33933,1013.25,35,27.87,,27.87
11/2/20,6:05:22 PM,1.32E+17,0:06:01,,6.1886,26.91,36227,1013.25,35,27.89,,6.8741,26.27,7497,1013.25,35,25.3,,6.2888,26.75,43379,1013.25,35,27.89,,6.2167,26.86,33941,1013.25,35,27.89,,27.89
11/2/20,6:05:52 PM,1.32E+17,0:06:31,,6.1827,26.92,36255,1013.25,35,27.89,,6.8875,26.25,7498,1013.25,35,25.3,,6.2828,26.76,43382,1013.25,35,27.89,,6.2048,26.88,33932,1013.25,35,27.89,,27.89
11/2/20,6:06:22 PM,1.32E+17,0:07:01,,6.1849,26.92,36267,1013.25,35,27.88,,6.8741,26.27,7497,1013.25,35,25.3,,6.291,26.75,43383,1013.25,35,27.88,,6.207,26.88,33936,1013.25,35,27.88,,27.88
11/2/20,6:06:52 PM,1.32E+17,0:07:31,,6.1731,26.94,36289,1013.25,35,27.88,,6.8808,26.26,7502,1013.25,35,25.3,,6.291,26.75,43381,1013.25,35,27.88,,6.2129,26.87,33937,1013.25,35,27.88,,27.88
11/2/20,6:07:22 PM,1.32E+17,0:08:01,,6.1694,26.95,36303,1013.25,35,27.87,,6.8741,26.27,7505,1013.25,35,25.3,,6.2872,26.76,43379,1013.25,35,27.87,,6.2151,26.87,33938,1013.25,35,27.87,,27.87
11/2/20,6:07:52 PM,1.32E+17,0:08:31,,6.1774,26.94,36312,1013.25,35,27.86,,6.8675,26.28,7506,1013.25,35,25.3,,6.2954,26.75,43385,1013.25,35,27.86,,6.2113,26.88,33936,1013.25,35,27.86,,27.86
11/2/20,6:08:22 PM,1.32E+17,0:09:01,,6.1694,26.95,36326,1013.25,35,27.87,,6.8409,26.32,7508,1013.25,35,25.3,,6.2932,26.75,43386,1013.25,35,27.87,,6.2151,26.87,33946,1013.25,35,27.87,,27.87
11/2/20,6:08:52 PM,1.32E+17,0:09:31,,6.1635,26.96,36338,1013.25,35,27.87,,6.8608,26.29,7508,1013.25,35,25.3,,6.2932,26.75,43382,1013.25,35,27.87,,6.2151,26.87,33936,1013.25,35,27.87,,27.87
11/2/20,6:09:22 PM,1.32E+17,0:10:01,,6.1657,26.96,36345,1013.25,35,27.86,,6.8608,26.29,7508,1013.25,35,25.3,,6.2954,26.75,43384,1013.25,35,27.86,,6.2113,26.88,33941,1013.25,35,27.86,,27.86
11/2/20,6:09:52 PM,1.32E+17,0:10:31,,6.1678,26.96,36359,1013.25,35,27.85,,6.8542,26.3,7505,1013.25,35,25.3,,6.2916,26.76,43386,1013.25,35,27.85,,6.2135,26.88,33945,1013.25,35,27.85,,27.85
11/2/20,6:10:22 PM,1.32E+17,0:11:01,,6.1481,26.99,36361,1013.25,35,27.86,,6.8542,26.3,7515,1013.25,35,25.3,,6.2954,26.75,43386,1013.25,35,27.86,,6.2113,26.88,33947,1013.25,35,27.86,,27.86
11/2/20,6:10:52 PM,1.32E+17,0:11:31,,6.1481,26.99,36369,1013.25,35,27.86,,6.8475,26.31,7510,1013.25,35,25.3,,6.2894,26.76,43393,1013.25,35,27.86,,6.2113,26.88,33952,1013.25,35,27.86,,27.86
11/2/20,6:11:22 PM,1.32E+17,0:12:01,,6.162,26.97,36371,1013.25,35,27.85,,6.8542,26.3,7513,1013.25,35,25.3,,6.2916,26.76,43390,1013.25,35,27.85,,6.2135,26.88,33951,1013.25,35,27.85,,27.85
11/2/20,6:11:52 PM,1.32E+17,0:12:31,,6.1546,26.99,36382,1013.25,35,27.83,,6.8608,26.29,7516,1013.25,35,25.3,,6.296,26.76,43391,1013.25,35,27.83,,6.206,26.9,33947,1013.25,35,27.83,,27.83
11/2/20,6:12:22 PM,1.32E+17,0:13:01,,6.1583,26.98,36395,1013.25,35,27.84,,6.8542,26.3,7512,1013.25,35,25.3,,6.2998,26.75,43397,1013.25,35,27.84,,6.2097,26.89,33954,1013.25,35,27.84,,27.84
11/2/20,6:12:52 PM,1.32E+17,0:13:31,,6.1546,26.99,36397,1013.25,35,27.83,,6.8409,26.32,7515,1013.25,35,25.3,,6.296,26.76,43395,1013.25,35,27.83,,6.2178,26.88,33953,1013.25,35,27.83,,27.83
11/2/20,6:13:22 PM,1.32E+17,0:14:01,,6.1465,27,36404,1013.25,35,27.84,,6.8211,26.35,7514,1013.25,35,25.3,,6.2938,26.76,43397,1013.25,35,27.84,,6.2097,26.89,33952,1013.25,35,27.84,,27.84
11/2/20,6:13:52 PM,1.32E+17,0:14:31,,6.1465,27,36413,1013.25,35,27.84,,6.8542,26.3,7511,1013.25,35,25.3,,6.2938,26.76,43396,1013.25,35,27.84,,6.2097,26.89,33953,1013.25,35,27.84,,27.84
11/2/20,6:14:22 PM,1.32E+17,0:15:01,,6.1385,27.01,36415,1013.25,35,27.85,,6.8277,26.34,7514,1013.25,35,25.3,,6.2856,26.77,43400,1013.25,35,27.85,,6.2076,26.89,33955,1013.25,35,27.85,,27.85
11/2/20,6:14:52 PM,1.32E+17,0:15:31,,6.1385,27.01,36420,1013.25,35,27.85,,6.8475,26.31,7515,1013.25,35,25.3,,6.2976,26.75,43400,1013.25,35,27.85,,6.2076,26.89,33963,1013.25,35,27.85,,27.85
11/2/20,6:15:22 PM,1.32E+17,0:16:01,,6.1364,27.01,36429,1013.25,35,27.86,,6.8475,26.31,7515,1013.25,35,25.3,,6.2834,26.77,43395,1013.25,35,27.86,,6.2054,26.89,33964,1013.25,35,27.86,,27.86
11/2/20,6:15:52 PM,1.32E+17,0:16:31,,6.1385,27.01,36427,1013.25,35,27.85,,6.8542,26.3,7520,1013.25,35,25.3,,6.2856,26.77,43400,1013.25,35,27.85,,6.2076,26.89,33966,1013.25,35,27.85,,27.85
11/2/20,6:16:22 PM,1.32E+17,0:17:01,,6.1284,27.02,36435,1013.25,35,27.87,,6.8475,26.31,7520,1013.25,35,25.3,,6.2872,26.76,43400,1013.25,35,27.87,,6.1973,26.9,33989,1013.25,35,27.87,,27.87
11/2/20,6:16:52 PM,1.32E+17,0:17:31,,6.1262,27.02,36442,1013.25,35,27.88,,6.8409,26.32,7521,1013.25,35,25.3,,6.279,26.77,43411,1013.25,35,27.88,,6.1834,26.92,34003,1013.25,35,27.88,,27.88
11/2/20,6:17:22 PM,1.32E+17,0:18:01,,6.1262,27.02,36451,1013.25,35,27.88,,6.8277,26.34,7515,1013.25,35,25.3,,6.285,26.76,43406,1013.25,35,27.88,,6.1775,26.93,34025,1013.25,35,27.88,,27.88
11/2/20,6:17:52 PM,1.32E+17,0:18:31,,6.1182,27.03,36453,1013.25,35,27.89,,6.8211,26.35,7516,1013.25,35,25.3,,6.2768,26.77,43412,1013.25,35,27.89,,6.1636,26.95,34045,1013.25,35,27.89,,27.89
11/2/20,6:18:22 PM,1.32E+17,0:19:01,,6.1161,27.03,36462,1013.25,35,27.9,,6.8343,26.33,7518,1013.25,35,25.3,,6.2746,26.77,43408,1013.25,35,27.9,,6.1614,26.95,34053,1013.25,35,27.9,,27.9
11/2/20,6:18:52 PM,1.32E+17,0:19:31,,6.1139,27.03,36469,1013.25,35,27.91,,6.8343,26.33,7520,1013.25,35,25.3,,6.2724,26.77,43414,1013.25,35,27.91,,6.1593,26.95,34070,1013.25,35,27.91,,27.91
11/2/20,6:19:22 PM,1.32E+17,0:20:01,,6.1139,27.03,36478,1013.25,35,27.91,,6.8211,26.35,7523,1013.25,35,25.3,,6.2664,26.78,43417,1013.25,35,27.91,,6.1476,26.97,34095,1013.25,35,27.91,,27.91
11/2/20,6:19:52 PM,1.32E+17,0:20:31,,6.0943,27.06,36484,1013.25,35,27.92,,6.8343,26.33,7518,1013.25,35,25.3,,6.2702,26.77,43419,1013.25,35,27.92,,6.1396,26.98,34102,1013.25,35,27.92,,27.92
11/2/20,6:20:22 PM,1.32E+17,0:21:01,,6.1001,27.05,36493,1013.25,35,27.92,,6.8145,26.36,7517,1013.25,35,25.3,,6.2582,26.79,43415,1013.25,35,27.92,,6.1338,26.99,34119,1013.25,35,27.92,,27.92
11/2/20,6:20:52 PM,1.32E+17,0:21:31,,6.1059,27.04,36504,1013.25,35,27.92,,6.8542,26.3,7523,1013.25,35,25.3,,6.2642,26.78,43416,1013.25,35,27.92,,6.1338,26.99,34139,1013.25,35,27.92,,27.92
11/2/20,6:21:22 PM,1.32E+17,0:22:01,,6.0907,27.07,36518,1013.25,35,27.91,,6.8608,26.29,7521,1013.25,35,25.3,,6.2664,26.78,43423,1013.25,35,27.91,,6.1301,27,34144,1013.25,35,27.91,,27.91
11/2/20,6:21:52 PM,1.32E+17,0:22:31,,6.0922,27.06,36530,1013.25,35,27.93,,6.8079,26.37,7525,1013.25,35,25.3,,6.262,26.78,43414,1013.25,35,27.93,,6.1258,27,34161,1013.25,35,27.93,,27.93
11/2/20,6:22:22 PM,1.32E+17,0:23:01,,6.0864,27.07,36544,1013.25,35,27.93,,6.8145,26.36,7521,1013.25,35,25.3,,6.268,26.77,43419,1013.25,35,27.93,,6.1084,27.03,34172,1013.25,35,27.93,,27.93
11/2/20,6:22:52 PM,1.32E+17,0:23:31,,6.0907,27.07,36555,1013.25,35,27.91,,6.8145,26.36,7526,1013.25,35,25.3,,6.2724,26.77,43417,1013.25,35,27.91,,6.1184,27.02,34186,1013.25,35,27.91,,27.91
11/2/20,6:23:22 PM,1.32E+17,0:24:01,,6.0791,27.09,36576,1013.25,35,27.91,,6.8211,26.35,7527,1013.25,35,25.3,,6.2664,26.78,43421,1013.25,35,27.91,,6.1126,27.03,34192,1013.25,35,27.91,,27.91
11/2/20,6:23:52 PM,1.32E+17,0:24:31,,6.0654,27.11,36579,1013.25,35,27.92,,6.7948,26.39,7527,1013.25,35,25.3,,6.2642,26.78,43413,1013.25,35,27.92,,6.0989,27.05,34198,1013.25,35,27.92,,27.92
11/2/20,6:24:22 PM,1.32E+17,0:25:01,,6.0712,27.1,36594,1013.25,35,27.92,,6.8277,26.34,7527,1013.25,35,25.3,,6.2582,26.79,43416,1013.25,35,27.92,,6.1047,27.04,34214,1013.25,35,27.92,,27.92
11/2/20,6:24:52 PM,1.32E+17,0:25:31,,6.0576,27.12,36609,1013.25,35,27.93,,6.8409,26.32,7529,1013.25,35,25.3,,6.262,26.78,43419,1013.25,35,27.93,,6.1026,27.04,34221,1013.25,35,27.93,,27.93
11/2/20,6:25:22 PM,1.32E+17,0:26:01,,6.0618,27.12,36626,1013.25,35,27.91,,6.8145,26.36,7530,1013.25,35,25.3,,6.2664,26.78,43417,1013.25,35,27.91,,6.101,27.05,34232,1013.25,35,27.91,,27.91
11/2/20,6:25:52 PM,1.32E+17,0:26:31,,6.0503,27.14,36641,1013.25,35,27.91,,6.7948,26.39,7528,1013.25,35,25.3,,6.2604,26.79,43424,1013.25,35,27.91,,6.101,27.05,34240,1013.25,35,27.91,,27.91
11/2/20,6:26:22 PM,1.32E+17,0:27:01,,6.0467,27.15,36655,1013.25,35,27.9,,6.8145,26.36,7532,1013.25,35,25.3,,6.2686,26.78,43417,1013.25,35,27.9,,6.1031,27.05,34243,1013.25,35,27.9,,27.9
11/2/20,6:26:52 PM,1.32E+17,0:27:31,,6.0503,27.14,36659,1013.25,35,27.91,,6.8211,26.35,7527,1013.25,35,25.3,,6.2664,26.78,43426,1013.25,35,27.91,,6.0952,27.06,34262,1013.25,35,27.91,,27.91
11/2/20,6:27:22 PM,1.32E+17,0:28:01,,6.0503,27.14,36678,1013.25,35,27.91,,6.8343,26.33,7528,1013.25,35,25.3,,6.2664,26.78,43421,1013.25,35,27.91,,6.0894,27.07,34270,1013.25,35,27.91,,27.91
11/2/20,6:27:52 PM,1.32E+17,0:28:31,,6.0467,27.15,36688,1013.25,35,27.9,,6.8013,26.38,7530,1013.25,35,25.3,,6.2626,26.79,43418,1013.25,35,27.9,,6.0915,27.07,34276,1013.25,35,27.9,,27.9
11/2/20,6:28:22 PM,1.32E+17,0:29:01,,6.0431,27.16,36696,1013.25,35,27.89,,6.7948,26.39,7534,1013.25,35,25.3,,6.2708,26.78,43432,1013.25,35,27.89,,6.0879,27.08,34278,1013.25,35,27.89,,27.89
11/2/20,6:28:52 PM,1.32E+17,0:29:31,,6.0531,27.15,36704,1013.25,35,27.87,,6.8013,26.38,7532,1013.25,35,25.3,,6.2752,26.78,43422,1013.25,35,27.87,,6.0863,27.09,34286,1013.25,35,27.87,,27.87
11/2/20,6:29:22 PM,1.32E+17,0:30:01,,6.0431,27.16,36704,1013.25,35,27.89,,6.8079,26.37,7533,1013.25,35,25.3,,6.2648,26.79,43419,1013.25,35,27.89,,6.0879,27.08,34297,1013.25,35,27.89,,27.89
11/2/20,6:29:52 PM,1.32E+17,0:30:31,,6.0395,27.17,36709,1013.25,35,27.88,,6.7882,26.4,7529,1013.25,35,25.3,,6.267,26.79,43431,1013.25,35,27.88,,6.0842,27.09,34306,1013.25,35,27.88,,27.88
11/2/20,6:30:22 PM,1.32E+17,0:31:01,,6.0316,27.18,36710,1013.25,35,27.89,,6.8343,26.33,7535,1013.25,35,25.3,,6.2648,26.79,43432,1013.25,35,27.89,,6.0821,27.09,34310,1013.25,35,27.89,,27.89
11/2/20,6:30:52 PM,1.32E+17,0:31:31,,6.0395,27.17,36708,1013.25,35,27.88,,6.8211,26.35,7527,1013.25,35,25.3,,6.267,26.79,43427,1013.25,35,27.88,,6.0784,27.1,34312,1013.25,35,27.88,,27.88
11/2/20,6:31:22 PM,1.32E+17,0:32:01,,6.0474,27.16,36709,1013.25,35,27.87,,6.8013,26.38,7530,1013.25,35,25.3,,6.2692,26.79,43435,1013.25,35,27.87,,6.0748,27.11,34320,1013.25,35,27.87,,27.87
11/2/20,6:31:52 PM,1.32E+17,0:32:31,,6.0416,27.17,36704,1013.25,35,27.87,,6.8013,26.38,7533,1013.25,35,25.3,,6.2752,26.78,43435,1013.25,35,27.87,,6.0748,27.11,34322,1013.25,35,27.87,,27.87
11/2/20,6:32:22 PM,1.32E+17,0:33:01,,6.0395,27.17,36701,1013.25,35,27.88,,6.7816,26.41,7530,1013.25,35,25.3,,6.261,26.8,43432,1013.25,35,27.88,,6.0784,27.1,34321,1013.25,35,27.88,,27.88
11/2/20,6:32:52 PM,1.32E+17,0:33:31,,6.0474,27.16,36699,1013.25,35,27.87,,6.7948,26.39,7535,1013.25,35,25.3,,6.2692,26.79,43438,1013.25,35,27.87,,6.0748,27.11,34317,1013.25,35,27.87,,27.87
11/2/20,6:33:22 PM,1.32E+17,0:34:01,,6.0495,27.16,36699,1013.25,35,27.86,,6.8211,26.35,7532,1013.25,35,25.3,,6.2714,26.79,43438,1013.25,35,27.86,,6.0769,27.11,34324,1013.25,35,27.86,,27.86
11/2/20,6:33:52 PM,1.32E+17,0:34:31,,6.0516,27.16,36692,1013.25,35,27.85,,6.7948,26.39,7532,1013.25,35,25.3,,6.2736,26.79,43437,1013.25,35,27.85,,6.0848,27.1,34327,1013.25,35,27.85,,27.85
11/2/20,6:34:22 PM,1.32E+17,0:35:01,,6.0516,27.16,36693,1013.25,35,27.85,,6.8079,26.37,7531,1013.25,35,25.3,,6.2736,26.79,43439,1013.25,35,27.85,,6.079,27.11,34317,1013.25,35,27.85,,27.85
11/2/20,6:34:52 PM,1.32E+17,0:35:31,,6.1444,27,36401,1013.25,35,27.85,,6.8013,26.38,7531,1013.25,35,25.3,,6.2736,26.79,43444,1013.25,35,27.85,,6.079,27.11,34325,1013.25,35,27.85,,27.85
11/2/20,6:35:22 PM,1.32E+17,0:36:01,,6.1914,26.92,36231,1013.25,35,27.85,,6.7948,26.39,7529,1013.25,35,25.3,,6.2736,26.79,43446,1013.25,35,27.85,,6.0848,27.1,34315,1013.25,35,27.85,,27.85
11/2/20,6:35:52 PM,1.32E+17,0:36:31,,6.2232,26.87,36141,1013.25,35,27.84,,6.7948,26.39,7529,1013.25,35,25.3,,6.2698,26.8,43443,1013.25,35,27.84,,6.0811,27.11,34315,1013.25,35,27.84,,27.84
11/2/20,6:36:22 PM,1.32E+17,0:37:01,,6.2389,26.84,36089,1013.25,35,27.85,,6.8145,26.36,7534,1013.25,35,25.3,,6.2616,26.81,43449,1013.25,35,27.85,,6.0906,27.09,34315,1013.25,35,27.85,,27.85
11/2/20,6:36:52 PM,1.32E+17,0:37:31,,6.2389,26.84,36063,1013.25,35,27.85,,6.8079,26.37,7532,1013.25,35,25.3,,6.2736,26.79,43439,1013.25,35,27.85,,6.0906,27.09,34308,1013.25,35,27.85,,27.85
11/2/20,6:37:22 PM,1.32E+17,0:38:01,,6.2411,26.84,36055,1013.25,35,27.84,,6.8145,26.36,7527,1013.25,35,25.3,,6.2758,26.79,43448,1013.25,35,27.84,,6.0869,27.1,34299,1013.25,35,27.84,,27.84
11/2/20,6:37:52 PM,1.32E+17,0:38:31,,6.2508,26.82,36046,1013.25,35,27.85,,6.8013,26.38,7528,1013.25,35,25.3,,6.2736,26.79,43452,1013.25,35,27.85,,6.0848,27.1,34300,1013.25,35,27.85,,27.85
11/2/20,6:38:22 PM,1.32E+17,0:39:01,,6.253,26.82,36035,1013.25,35,27.84,,6.7882,26.4,7526,1013.25,35,25.3,,6.2698,26.8,43455,1013.25,35,27.84,,6.0927,27.09,34302,1013.25,35,27.84,,27.84
11/2/20,6:38:52 PM,1.32E+17,0:39:31,,6.2508,26.82,36037,1013.25,35,27.85,,6.8277,26.34,7530,1013.25,35,25.3,,6.2676,26.8,43458,1013.25,35,27.85,,6.079,27.11,34296,1013.25,35,27.85,,27.85
11/2/20,6:39:22 PM,1.32E+17,0:40:01,,6.2449,26.83,36049,1013.25,35,27.85,,6.8145,26.36,7529,1013.25,35,25.3,,6.2676,26.8,43457,1013.25,35,27.85,,6.0906,27.09,34296,1013.25,35,27.85,,27.85
11/2/20,6:39:52 PM,1.32E+17,0:40:31,,6.2546,26.81,36040,1013.25,35,27.86,,6.8211,26.35,7526,1013.25,35,25.3,,6.2774,26.78,43460,1013.25,35,27.86,,6.0885,27.09,34294,1013.25,35,27.86,,27.86
11/2/20,6:40:22 PM,1.32E+17,0:41:01,,6.2486,26.82,36040,1013.25,35,27.86,,6.8145,26.36,7530,1013.25,35,25.3,,6.2654,26.8,43459,1013.25,35,27.86,,6.0942,27.08,34294,1013.25,35,27.86,,27.86
11/2/20,6:40:52 PM,1.32E+17,0:41:31,,6.242,26.82,36034,1013.25,35,27.89,,6.7882,26.4,7531,1013.25,35,25.3,,6.2588,26.8,43458,1013.25,35,27.89,,6.0879,27.08,34291,1013.25,35,27.89,,27.89
11/2/20,6:41:22 PM,1.32E+17,0:42:01,,6.2398,26.82,36039,1013.25,35,27.9,,6.7882,26.4,7529,1013.25,35,25.3,,6.2507,26.81,43463,1013.25,35,27.9,,6.0858,27.08,34293,1013.25,35,27.9,,27.9
11/2/20,6:41:53 PM,1.32E+17,0:42:31,,6.2398,26.82,36041,1013.25,35,27.9,,6.8079,26.37,7531,1013.25,35,25.3,,6.2566,26.8,43466,1013.25,35,27.9,,6.08,27.09,34293,1013.25,35,27.9,,27.9
11/2/20,6:42:23 PM,1.32E+17,0:43:01,,6.2295,26.83,36035,1013.25,35,27.92,,6.8013,26.38,7527,1013.25,35,25.3,,6.2523,26.8,43460,1013.25,35,27.92,,6.0758,27.09,34289,1013.25,35,27.92,,27.92
11/2/20,6:42:53 PM,1.32E+17,0:43:31,,6.2376,26.82,36039,1013.25,35,27.91,,6.7882,26.4,7533,1013.25,35,25.3,,6.2425,26.82,43469,1013.25,35,27.91,,6.0836,27.08,34293,1013.25,35,27.91,,27.91
11/2/20,6:43:23 PM,1.32E+17,0:44:01,,6.2295,26.83,36037,1013.25,35,27.92,,6.8145,26.36,7529,1013.25,35,25.3,,6.2582,26.79,43466,1013.25,35,27.92,,6.07,27.1,34301,1013.25,35,27.92,,27.92
11/2/20,6:43:53 PM,1.32E+17,0:44:31,,6.2332,26.82,36032,1013.25,35,27.93,,6.8013,26.38,7529,1013.25,35,25.3,,6.2441,26.81,43464,1013.25,35,27.93,,6.0736,27.09,34292,1013.25,35,27.93,,27.93
11/2/20,6:44:23 PM,1.32E+17,0:45:01,,6.2354,26.82,36037,1013.25,35,27.92,,6.8277,26.34,7529,1013.25,35,25.3,,6.2523,26.8,43475,1013.25,35,27.92,,6.07,27.1,34293,1013.25,35,27.92,,27.92
11/2/20,6:44:53 PM,1.32E+17,0:45:31,,6.2332,26.82,36034,1013.25,35,27.93,,6.7882,26.4,7530,1013.25,35,25.3,,6.2501,26.8,43473,1013.25,35,27.93,,6.0736,27.09,34298,1013.25,35,27.93,,27.93
11/2/20,6:45:23 PM,1.32E+17,0:46:01,,6.2295,26.83,36037,1013.25,35,27.92,,6.8013,26.38,7532,1013.25,35,25.3,,6.2463,26.81,43470,1013.25,35,27.92,,6.0642,27.11,34302,1013.25,35,27.92,,27.92
11/2/20,6:45:53 PM,1.32E+17,0:46:31,,6.2295,26.83,36036,1013.25,35,27.92,,6.7816,26.41,7532,1013.25,35,25.3,,6.2463,26.81,43476,1013.25,35,27.92,,6.07,27.1,34308,1013.25,35,27.92,,27.92
11/2/20,6:46:23 PM,1.32E+17,0:47:01,,6.2392,26.81,36045,1013.25,35,27.93,,6.8145,26.36,7532,1013.25,35,25.3,,6.2381,26.82,43469,1013.25,35,27.93,,6.0679,27.1,34307,1013.25,35,27.93,,27.93
11/2/20,6:46:53 PM,1.32E+17,0:47:31,,6.2414,26.81,36040,1013.25,35,27.92,,6.7751,26.42,7532,1013.25,35,25.3,,6.2403,26.82,43476,1013.25,35,27.92,,6.07,27.1,34318,1013.25,35,27.92,,27.92
11/2/20,6:47:23 PM,1.32E+17,0:48:01,,6.2354,26.82,36033,1013.25,35,27.92,,6.7882,26.4,7533,1013.25,35,25.3,,6.2403,26.82,43480,1013.25,35,27.92,,6.0642,27.11,34323,1013.25,35,27.92,,27.92
11/2/20,6:47:53 PM,1.32E+17,0:48:31,,6.2436,26.81,36040,1013.25,35,27.91,,6.7948,26.39,7533,1013.25,35,25.3,,6.2485,26.81,43472,1013.25,35,27.91,,6.0721,27.1,34329,1013.25,35,27.91,,27.91
